Date,Open,High,Low,Close,Volume
6/13/2024 16:00:00,750,750,740,745,19819100
6/14/2024 16:00:00,745,745,720,735,28379700
6/19/2024 16:00:00,735,735,705,725,27830100
6/20/2024 16:00:00,725,755,720,740,37572600
6/21/2024 16:00:00,740,750,730,740,16536300
6/24/2024 16:00:00,740,760,740,750,34109300
6/25/2024 16:00:00,750,770,745,765,48563700
6/26/2024 16:00:00,765,765,750,750,22262600
6/27/2024 16:00:00,755,780,750,770,51679000
6/28/2024 16:00:00,770,775,765,775,17933800
7/1/2024 16:00:00,775,775,755,755,16402800
7/2/2024 16:00:00,760,770,755,755,11301800
7/3/2024 16:00:00,750,755,740,745,14520400
7/4/2024 16:00:00,750,760,745,750,21878200
7/5/2024 16:00:00,755,760,740,745,11609300
7/8/2024 16:00:00,745,760,740,760,14434000
7/9/2024 16:00:00,760,760,730,740,35007900
7/10/2024 16:00:00,740,750,730,745,21958000
7/11/2024 16:00:00,745,745,730,740,19218800
7/12/2024 16:00:00,745,750,740,745,11123400
7/15/2024 16:00:00,745,750,740,740,18203300
7/16/2024 16:00:00,740,745,740,740,15276000
7/17/2024 16:00:00,740,750,740,740,7696300
7/18/2024 16:00:00,740,745,725,725,18104000
7/19/2024 16:00:00,725,745,720,745,32741600
7/22/2024 16:00:00,745,745,725,725,20963100
7/23/2024 16:00:00,730,740,720,730,23862700
7/24/2024 16:00:00,730,740,705,720,55299600
7/25/2024 16:00:00,720,725,685,700,60210500
7/26/2024 16:00:00,700,715,700,715,19400000
7/29/2024 16:00:00,715,725,695,705,32770700
7/30/2024 16:00:00,710,725,700,725,39605300
7/31/2024 16:00:00,730,730,720,725,16648400
8/1/2024 16:00:00,725,745,720,735,27959400
8/2/2024 16:00:00,735,740,715,735,25047700
8/5/2024 16:00:00,730,730,690,695,44814800
8/6/2024 16:00:00,695,705,685,690,27399000
8/7/2024 16:00:00,695,710,695,710,16577800
8/8/2024 16:00:00,710,715,695,700,20453900
8/9/2024 16:00:00,700,710,700,710,7218300
8/12/2024 16:00:00,710,710,700,705,15523400
8/13/2024 16:00:00,710,720,705,710,17652000
8/14/2024 16:00:00,715,735,710,730,49136500
8/15/2024 16:00:00,730,735,715,720,22819700
8/16/2024 16:00:00,725,730,720,720,11103800
8/19/2024 16:00:00,720,725,695,710,42245800
8/20/2024 16:00:00,710,710,700,705,19444200
8/21/2024 16:00:00,705,710,700,705,25313500
8/22/2024 16:00:00,705,710,700,700,20019500
8/23/2024 16:00:00,705,710,700,705,28356200
8/26/2024 16:00:00,705,710,690,695,49849600
8/27/2024 16:00:00,695,700,690,700,15687600
8/28/2024 16:00:00,700,700,680,685,56821200
8/29/2024 16:00:00,685,690,670,675,45555400
8/30/2024 16:00:00,675,685,655,660,87634700
9/2/2024 16:00:00,670,680,665,665,40552100
9/3/2024 16:00:00,665,675,645,655,52251500
9/4/2024 16:00:00,650,670,635,670,46645300
9/5/2024 16:00:00,675,680,665,670,40593100
9/6/2024 16:00:00,670,675,665,670,18688400
9/9/2024 16:00:00,665,675,655,665,29284200
9/10/2024 16:00:00,665,670,650,655,31525300
9/11/2024 16:00:00,660,680,655,680,23488100
9/12/2024 16:00:00,680,685,670,675,17210200
9/13/2024 16:00:00,675,690,675,680,33698900
9/17/2024 16:00:00,680,685,670,675,24250400
9/18/2024 16:00:00,675,680,670,670,34641300
9/19/2024 16:00:00,675,680,665,675,41923300
9/20/2024 16:00:00,675,685,670,685,25168700
9/23/2024 16:00:00,685,690,670,675,42720600
9/24/2024 16:00:00,680,680,665,670,33724200
9/25/2024 16:00:00,670,675,660,665,38222100
9/26/2024 16:00:00,665,675,660,670,19248300
9/27/2024 16:00:00,675,675,660,665,27401600
9/30/2024 16:00:00,665,670,655,665,26094400
10/1/2024 16:00:00,670,680,665,675,22193900
10/2/2024 16:00:00,675,675,650,660,42885100
10/3/2024 16:00:00,660,665,630,640,91120700
10/4/2024 16:00:00,640,650,635,640,29115600
10/7/2024 16:00:00,645,670,645,670,38164000
10/8/2024 16:00:00,670,670,660,670,15724900
10/9/2024 16:00:00,670,670,660,665,11383900
